order_id,customer_id,product_name,product_category,order_date,quantity,unit_price
9001,101,Wireless Mouse,Electronics,2024-01-05,2,19.99
9002,102,Standing Desk,Furniture,2024-01-08,1,249.00
9003,103,Notebook Set,Stationery,2024-01-10,5,4.50
9004,104,Espresso Machine,Home Appliances,2024-01-15,1,189.99
9005,105,Running Shoes,Apparel,2024-01-18,1,79.95
9006,106,Bluetooth Speaker,Electronics,2024-01-22,2,45.00
9007,107,Yoga Mat,Fitness,2024-01-25,1,29.99
9008,108,Desk Lamp,Furniture,2024-02-01,3,22.50
9009,109,Backpack,Accessories,2024-02-04,1,59.00
9010,110,Water Bottle,Fitness,2024-02-09,4,12.99
9011,111,Keyboard,Electronics,2024-02-13,1,65.00
9012,112,Office Chair,Furniture,2024-02-17,1,159.00
9013,101,Phone Case,Accessories,2024-02-20,2,15.00
9014,104,Blender,Home Appliances,2024-02-25,1,49.99
9015,107,Monitor Stand,Furniture,2024-03-02,1,35.00
