order_id,customer_id,product_name,product_category,order_date,quantity,unit_price
9004,104,Espresso Machine,Home Appliances,2024-01-15,1,194.99
9006,106,Bluetooth Speaker,Electronics,2024-01-22,2,45.00
9007,107,Yoga Mat,Fitness,2024-01-25,1,29.99
9101,113,Sunglasses,Accessories,2024-03-05,1,89.00
9102,114,Cast Iron Pan,Home Appliances,2024-03-09,1,64.50
9103,115,Wireless Earbuds,Electronics,2024-03-12,2,99.00
9104,116,Travel Mug,Accessories,2024-03-16,3,18.00
9105,117,Trail Backpack,Fitness,2024-03-20,1,110.00
9106,118,Desk Organizer,Furniture,2024-03-24,2,27.50
9107,104,Cutting Board,Home Appliances,2024-03-28,1,22.00
9108,107,Resistance Bands,Fitness,2024-04-02,1,15.99
